date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:30	2527/2527	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2013%20Nov%202022%2004:50:29%20GMT	https://premiumlayers.com/robots.txt		(from )
23:50:30	33646/33646	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202017%2004:29:02%20GMT	https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/index04b9.html	(from )
23:50:30	1885/1885	---M--	200	added ('OK')	image/x-icon	date:Tue,%2024%20Jan%202017%2014:18:10%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images//favicon.ico	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/favicon.ico	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:30	2174/2174	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:17:52%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images//apple-touch-icon-114x114-precomposed.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/apple-touch-icon-114x114-precomposed.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:30	2527/2527	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2013%20Nov%202022%2004:50:30%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images//apple-touch-icon-72x72-precomposed.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/apple-touch-icon-72x72-precomposed.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:31	949/949	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:17:52%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images//apple-touch-icon-57x57-precomposed.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/apple-touch-icon-57x57-precomposed.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:32	29616/29616	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:19:42%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/css/settings.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/css/settings.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	41552/41552	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:20:58%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/fonts/font-awesome/css/font-awesome.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/fonts/font-awesome/css/font-awesome.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	29063/29063	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:20:56%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/fonts/font-awesome/css/font-awesome.min.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/fonts/font-awesome/css/font-awesome.min.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	140793/140793	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:19:40%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/css/layers.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/css/layers.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	59576/59576	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:19:40%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/css/navigation.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/css/navigation.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	387081/387081	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:17:44%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/css/lib.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/css/lib.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:33	2529/2529	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202017%2014:17:44%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/css/plugins.css	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/css/plugins.css	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
